Rank,Trend
1,#CurrysPurpleFriday
2,Scotland
3,#ImACeleb
4,World Cup
5,#AEWDynamite
6,#InternationalMensDay
7,#SCODEN
8,Peggy
9,Christmas
10,McTominay
11,Popcorn
12,Denmark
13,Home Alone
14,Tierney
15,Kwara
16,Kelly
17,Die Hard
18,Kenny McLean
19,Clive Lewis
20,Burnham
21,Russia
22,Russo
23,Ukraine
24,Gemini 3
25,Cavs
