Rank,Trend
1,#bbcqt
2,LeBron
3,Amorim
4,Eurovision
5,#SpotifyWrapped
6,Joe Root
7,Tosin
8,Dorgu
9,Magassa
10,Leeds
11,#Ashes
12,#livsun
13,#ImACeleb
14,Bernard Manning
15,Reform
16,Wolves
17,Starc
18,Daisy Cooper
19,Harry Brook
20,Sunderland
21,The BBC
22,Ayden Heaven
23,Alf Garnett
24,Mbuemo
25,Amad
