Rank,Trend
1,$TCT
2,Chelsea
3,Caicedo
4,#CHEARS
5,McLaren
6,Anthony Taylor
7,#QatarGP
8,Christmas
9,Gullis
10,#PoliticsLive
11,#ForTT_Telegram_sam11adel
12,#WHULIV
13,West Ham
14,Billy Bonds
15,Your Party
16,Kimi
17,Paqueta
18,Saliba
19,Wirtz
20,Bangladesh
21,Happy New Month
22,Abu Dhabi
23,Cyber Monday
24,Tory
25,Norris
