Rank,Trend
1,#CurrysPurpleFriday
2,Scotland
3,World Cup
4,#ITV7InItToWinIt
5,Ian Wright
6,#ImACeleb
7,Nnamdi Kanu
8,Christmas
9,Bosnia
10,Peggy
11,#InternationalMensDay
12,#faithfreedomnigeria
13,Justice Omotosho
14,Italy
15,Home Alone
16,Royal Pagaille
17,Popcorn
18,Russia
19,Ukraine
20,Steve Smith
21,McTominay
22,Die Hard
23,Endsars
24,Tierney
25,Andy Burnham
