Rank,Trend
1,Everton
2,#WWERaw
3,Zirkzee
4,Gueye
5,Pickford
6,Spurs
7,Penta
8,#TROLLBOY
9,Jimmy Cliff
10,Frank
11,Gana
12,Ange
13,#ImACeleb
14,#River
15,#ARSTOT
16,Tottenham
17,Purdy
18,Lacey
19,Russia
20,Nick Brown
21,Dyer
22,Bowyer
23,Olamide
24,Brock
25,Grimsby
