Rank,Trend
1,#CurrysPurpleFriday
2,Scotland
3,#FaithFreedomNigeria
4,#SCODEN
5,#PMQs
6,McTominay
7,#ImACeleb
8,Andy Robertson
9,Kwara
10,Hampden
11,Steve Clarke
12,Cloudflare
13,Peggy
14,Clive Lewis
15,HARRY WILSON
16,Robbo
17,Tinubu
18,Tesco
19,Gemini 3
20,Maltesers
21,Line of Duty
22,Wales
23,Scots
24,What A Goal
25,Yantar
