Rank,Trend
1,Spurs
2,#ARSTOT
3,Frank
4,#lufc
5,Slot
6,#COYG
7,Farke
8,Ukraine
9,Richarlison
10,Cowboys
11,Ange
12,Russia
13,North London
14,Liverpool
15,#Strictly
16,Merino
17,#COYS
18,Putin
19,Trossard
20,Aaronson
21,Raya
22,Freezing
23,McLaren
24,Isak
25,Xavi Simons
