Rank,Trend
1,#EubankBenn2
2,#UFC322
3,Hanley
4,#Strictly
5,Epstein
6,#ENGvNZL
7,Trump
8,Steve Clarke
9,Scotland
10,Belarus
11,Craig Gordon
12,Che Adams
13,Nikita
14,World Cup
15,Greece
16,Storm Claudia
17,Adam Azim
18,Trigger
19,Kirstie
20,Denmark
21,England
22,Bill Clinton
23,Catterall
24,George Ford
25,GAME ON
