Rank,Trend
1,#ImACeleb
2,#WWERaw
3,Christmas
4,Jake Paul
5,Cloudflare
6,Shabana Mahmood
7,Tesco
8,World Cup
9,ECHR
10,Home Secretary
11,#albeng
12,#thismorning
13,England
14,#popmaster
15,Denmark
16,Bellingham
17,Clement
18,AJ Lee
19,Constitution Hill
20,Freya Godfrey
21,Semenyo
22,Ruby
23,Sheamus
24,Aitch
25,Sienna
