Rank,Trend
1,Eurovision
2,Warner Bros
3,No Drama This End
4,#bbcqt
5,Amorim
6,Ugarte
7,#Ashes
8,#MUNWHU
9,#SpotifyWrapped
10,West Ham
11,Tosin
12,Joe Root
13,#LIVSUN
14,Will Jacks
15,Dorgu
16,Wan Bissaka
17,Bernard Manning
18,Farage
19,Keep Running
20,Reform
21,Israel
22,Magassa
23,Cunha
24,Leeds
25,Alf Garnett
