Rank,Trend
1,#saintsfc
2,Delap
3,Gittens
4,Tosin
5,Nathan Jones
6,#pafc
7,England
8,Andrey Santos
9,Joao Pedro
10,Caicedo
11,Maresca
12,Travis Head
13,Cucurella
14,#SaturdayKitchen
15,Will Still
16,Enzo
17,Bazball
18,#FPLCommunity
19,#twitterclarets
20,Stormzy
21,MATCH DAY
22,GAME OFF
23,Brisbane
24,Garnacho
25,Embarrassing
