Rank,Trend
1,Caicedo
2,#CHEARS
3,Chelsea
4,McLaren
5,Anthony Taylor
6,#QatarGP
7,Paqueta
8,Billy Bonds
9,Wirtz
10,West Ham
11,#ImACeleb
12,#WHULIV
13,#CRYMUN
14,Your Party
15,Lando
16,Saliba
17,Merino
18,Mosquera
19,Eddie
20,Abu Dhabi
21,Norris
22,Zirkzee
23,Gakpo
24,Isak
25,St Andrew
