Rank,Trend
1,#SpotifyWrapped
2,Tosin
3,Joe Root
4,Leeds
5,Christmas
6,#LIVSUN
7,Starc
8,Harry Brook
9,Maresca
10,#LEECHE
11,Dawn Sturgess
12,Merino
13,#ARSBRE
14,Ben White
15,Thailand
16,Yasser Abu Shabab
17,Delap
18,#newtot
19,Wirtz
20,Postponed
21,Salisbury
22,Reform
23,Christopher Harborne
24,Guessand
25,Brentford
