Rank,Trend
1,#SpotifyWrapped
2,Tosin
3,#LIVSUN
4,Wirtz
5,Merino
6,Christmas
7,Chiesa
8,#ARSBRE
9,Slot
10,#avfc
11,Rangers
12,#SAFC
13,Michael Stewart
14,Madueke
15,Ndoye
16,Lammy
17,Palmer
18,guessand
19,Apple Music
20,Girl Guides
21,Remi Moses
22,Josh
23,Chermiti
24,Bajrami
25,Morato
