Rank,Trend
1,Zirkzee
2,Billy Bonds
3,Amorim
4,Gakpo
5,Mateta
6,Yoro
7,Casemiro
8,Dalot
9,Nketiah
10,Licha
11,Wharton
12,Wirtz
13,Mainoo
14,Hibs
15,Martinez
16,Gomez
17,Amad
18,Nick Walsh
19,Engels
20,Bonzo
21,Lacey
22,Scales
23,Chiesa
24,St Andrews
25,#CRYMNU
