Rank,Trend
1,#ImACeleb
2,World Cup
3,#EubankBenn2
4,Troy Parrott
5,#ALBENG
6,Christmas
7,#UFC322
8,#Strictly
9,Congo
10,Chiefs
11,Nigeria
12,Ireland
13,Lookman
14,Albania
15,Trump
16,Littler
17,Tesco
18,lorde
19,Nwabali
20,Sam Darnold
21,Portugal
22,Hungary
23,Armenia
24,Vicky
25,Wharton
