Rank,Trend
1,#CurrysPurpleFriday
2,#releafcannabis
3,#LCFC
4,#hcafc
5,Thanksgiving
6,Black Friday
7,#oafc
8,Labour
9,JJ Gabriel
10,Reeves
11,French Ship
12,Your Party
13,Booster Bob
14,Sydie Peck
15,Marti
16,Gnonto
17,Constitution Hill
18,GAME OFF
19,Cifuentes
20,Le Beau Madrik
21,Brexit
22,GAME ON
23,Quigley
24,U18s
25,impose toi
