Rank,Trend
1,$BNKK
2,#ImACeleb
3,World Cup
4,Jake Paul
5,Christmas
6,#PoliticsLive
7,#ALBENG
8,Troy Parrott
9,#EubankBenn2
10,Trump
11,Congo
12,Aitch
13,Nigeria
14,#ThisMorning
15,Ruby Wax
16,Ireland
17,England
18,Albania
19,Bellingham
20,lorde
21,broja
22,Kane
23,Lookman
24,Shabana Mahmood
25,Bassey
