Rank,Trend
1,Davis Mills
2,Texans
3,Josh Allen
4,Ray Davis
5,#MissUniverse
6,#TNFonPrime
7,Taron Johnson
8,Christian Kirk
9,James Cook
10,Nico Collins
11,Cole Bishop
12,Sedition
13,Will Anderson
14,Jayden Higgins
15,Shakir
16,Cam Lewis
17,Maxey
18,#Isles
19,#htownmade
20,#BUFvsHOU
21,Woody Marks
22,Al Michaels
23,Treason
24,Prater
25,CJ Stroud
