Rank,Trend
1,#SmackDown
2,Mamdani
3,Marjorie Taylor Greene
4,Aiyuk
5,Kandi
6,Azzi
7,Myles Colvin
8,#RissaHatchDay25
9,Rebel Heart
10,Hannah Hidalgo
11,joshua
12,#OPNation
13,Derik Queen
14,End 1Q
15,#Dateline
16,Ilja
17,Wake Forest
18,#ItsGoodToBeRight
19,Kam Williams
20,Keshad Johnson
21,Ryan Conwell
22,Khalifa
23,Chance Moore
24,Nikishin
25,Castellanos
