Rank,Trend
1,The BONK
2,FIFA
3,Merino
4,Namjoon
5,Warner Bros
6,Odegaard
7,Good Saturday
8,#AVLARS
9,#SmackDown
10,Candace
11,fnaf 2
12,Matt Campbell
13,TPUSA
14,rUSD
15,The EU
16,Hep B
17,#ROHFinalBattle
18,Paramount
19,Diddy
20,#SaturdayVibes
21,Arteta
22,Somali
23,#COYG
24,Watkins
25,Saka
