Rank,Trend
1,#SmackDown
2,#ROHFinalBattle
3,Mark Pope
4,#OPLive
5,Jalen Johnson
6,North Texas
7,Tre Carroll
8,Jimmy Rogers
9,Wes Miller
10,Celtics
11,Red Velvet
12,UNLV
13,Wazzu
14,FIFA
15,Troy
16,#TNAFinalResolution
17,#BostonBlue
18,Jaylon Tyson
19,Lee Moriarty
20,Deuce McBride
21,Ciampa
22,Terror Twins
23,Nia Jax
24,Michael Annett
25,Ilja
