Rank,Trend
1,$BNKK
2,Chiefs
3,Eagles
4,Goff
5,Good Monday
6,Shedeur
7,#MondayMotivation
8,Victory Monday
9,Sam Darnold
10,Browns
11,#NXXTCall
12,Mahomes
13,Epstein
14,Josh Allen
15,#UFC322
16,Gabriel
17,JJ McCarthy
18,Bryce Young
19,Vikings
20,Go Birds
21,#ChaoVendeHumo
22,Bubba
23,Chargers
24,Falcons
25,riley moss
