Rank,Trend
1,Purdy
2,#WWERaw
3,Panthers
4,Mac Jones
5,Penta
6,49ers
7,Jaycee Horn
8,Gunther
9,Canales
10,#KeepPounding
11,#FTTB
12,Melo
13,Niners
14,#RawOnNetflix
15,#MondayNightFootball
16,Mark Kelly
17,3 INTs
18,Kittle
19,Joe Buck
20,Comey
21,MIKE JACK
22,Rico Dowdle
23,Tyler Herro
24,Syracuse
25,PJ Washington
