Rank,Trend
1,Epstein
2,Good Saturday
3,#SmackDown
4,Steph
5,Bubba
6,Clemson
7,Wemby
8,Wale
9,#SaturdayVibes
10,Judge
11,Summer Walker
12,Kevin James
13,Landry Shamet
14,GAME DAY
15,#MeAndTheeSeriesEP1
16,#Varanasi
17,Massie
18,#Caturday
19,Megyn Kelly
20,Metroid
21,PONDPHUWIN AT MAT PREMIERE
22,Marjorie Taylor Greene
23,Fields
24,America
25,Rory
