Rank,Trend
1,Thanksgiving
2,Black Friday
3,Bears
4,Florida
5,Good Saturday
6,Afghanistan
7,#HookEm
8,National Guard
9,Aggies
10,Arch Manning
11,Ohio State
12,#SmallBusinessSaturday
13,Marcel Reed
14,Christmas
15,Lamar
16,Ole Miss
17,#SaturdayVibes
18,Biden
19,Sarah Beckstrom
20,Stranger Things
21,#MeAndTheeSeriesEP3
22,#BearDown
23,Jeff Sims
24,Taliban
25,Black Ops 7 Blueprint
