Rank,Trend
1,#DWTS
2,Alix
3,Dylan
4,Robert
5,Elaine
6,Carrie Ann
7,Anthony Black
8,Drummond
9,#WWENXT
10,Suggs
11,Jalen Johnson
12,Ezra
13,#DancingWithTheStars
14,Godzilla
15,Wizards
16,CJ McCollum
17,#NXTGoldRush
18,Bruce Pearl
19,#iubb
20,Brown
21,Auburn
22,House Party
23,76ers
24,Hazel
25,Reed Bailey
