Rank,Trend
1,Thanksgiving
2,Black Friday
3,Ravens
4,#StrangerThings5
5,Chiefs
6,National Guard
7,#releafcannabis
8,Afghan
9,Turkey
10,Thankful
11,Packers
12,Sarah Beckstrom
13,#DaesangForJin
14,Good Friday
15,Mahomes
16,Dan Campbell
17,Post Malone
18,Biden
19,Jack White
20,Wicks
21,#FanCashDropPromotion
22,#heatedrivalry
23,McDuffie
24,Zay Flowers
25,Jordan Love
