Rank,Trend
1,Chiefs
2,Eagles
3,Dan Campbell
4,Jalen
5,Shedeur
6,Mahomes
7,Ravens
8,Goff
9,#RHOP
10,AJ Brown
11,Sengun
12,Saquon
13,Lamar
14,Jordan Davis
15,Naylor
16,Lane Johnson
17,Andy Reid
18,Moses Moody
19,#90DayFianceHappilyEverAfter
20,Riley Moss
21,Kevin Durant
22,Jonathan Quick
23,#snfonnbc
24,Sheduer
25,Tank Bigsby
