Rank,Trend
1,#SurvivorSeries
2,Thanksgiving
3,Auburn
4,Ole Miss
5,Vandy
6,Florida
7,Good Sunday
8,Venezuela
9,Duke
10,Miami
11,Buckeyes
12,Zirkzee
13,Iron Bowl
14,#sundayvibes
15,Black Friday
16,Stockton
17,Ryan Day
18,Mateer
19,Austin Theory
20,Christmas
21,Ty Simpson
22,Underwood
23,Tim Banks
24,Sumrall
25,#GoBucks
