Rank,Trend
1,#UFC322
2,Bama
3,Arch Manning
4,#AEWCollision
5,Georgia
6,Noah Thomas
7,James Peoples
8,Bronny
9,Wingo
10,Ole Miss
11,Jeremiah Smith
12,Lebby
13,#Svengoolie
14,Ty Simpson
15,UConn
16,Shapen
17,#GoDawgs
18,Sark
19,#HookEm
20,CJ Allen
21,Kopylov
22,Iowa
23,jungkook
24,Ahmad Hardy
25,Bo Jackson
