Rank,Trend
1,#SpotifyWrapped
2,Roblox
3,Mike
4,дурина
5,Кремле
6,Дотторе
7,Европой
8,РЕАЛЬНО
9,Москву
10,Putin
11,Bitcoin
12,p.s. минутка омских
13,Russia
14,Telegram
15,Соболезную
16,странно
17,хотелось
18,риа новости
19,Вчера
20,#vtuber
21,Скоро
22,китае
23,WhatsApp
24,Christmas
25,#heatedrivalry
