Rank,Trend
1,Трампа
2,Украина
3,Camp Haven
4,цска
5,DO IT
6,Monad
7,Миша
8,соболь
9,собчак
10,Хорошая
11,Зеленский
12,обязательно
13,арно
14,Grok
15,зеленскому
16,киеву
17,путину
18,Europe
19,Ukraine
20,Навального
21,Putin
22,запада
23,очевидно
24,Типа
25,купянск
