Rank,Trend
1,#StrayKids_DO_IT_OutNow
2,STRAY KIDS DO IT IS DIVINE
3,#Bitcoin
4,Путину
5,Украины
6,соболь
7,вокс
8,люба
9,Собчак
10,#madscientists
11,Monad
12,Трампа
13,Странно
14,Донбасс
15,Обязательно
16,Киеве
17,Благодарю
18,#нюдсочетверг
19,Запад
20,$BTC
21,Проблема
22,Даааа
23,Зеленский
24,#DearX
25,Озон
