Rank,Trend
1,#нюдсочетверг
2,#DearX
3,Monad
4,обязательно
5,Собчак
6,Донбасс
7,Аластор
8,Путину
9,вокс
10,Странно
11,Киеве
12,соболезную
13,любая
14,сочувствую
15,ATACMS
16,сочи
17,Украине
18,Дудя
19,прикольно
20,Elon
21,Japan
22,ясно
23,Россией
24,Ukraine
25,Украиной
